update,mean_rollout_reward,policy_loss,value_loss,entropy
1.0,-1.556053876876831,0.00014605648175347596,9.686504811048508,0.8071957416832447
2.0,-1.5753705501556396,-0.0006946597713977098,7.2606339156627655,0.8941477164626122
3.0,-1.5893402099609375,0.001402480120304972,9.551490724086761,0.9463845230638981
4.0,-1.3564035892486572,-0.0010501320648472756,8.84094512462616,0.8498501740396023
5.0,-1.6239138841629028,0.0013529635034501553,10.776258826255798,0.9714730530977249
6.0,-1.3805426359176636,-0.004968312161508948,5.1707121431827545,0.9371012188494205
7.0,-1.8549466133117676,-0.00040068000089377165,12.923720955848694,0.960072573274374
8.0,-1.3536244630813599,0.0006016016413923353,4.750889211893082,0.7608620412647724
9.0,-1.3447903394699097,0.0007647149031981826,12.25713586807251,0.7919480204582214
10.0,-1.621643304824829,0.00027730735018849373,14.415127158164978,0.8402981795370579
11.0,-1.4526641368865967,-0.0006502454489236698,5.601803123950958,0.7968302890658379
12.0,-1.650246024131775,-0.0015298437792807817,13.99834132194519,0.8233965635299683
13.0,-1.3777921199798584,-0.0022144067334011197,5.2604756355285645,0.7835983298718929
14.0,-1.2047393321990967,-0.0027715504984371364,13.946849763393402,0.7871612757444382
15.0,-1.279766321182251,-0.0023679050500504673,11.491137444972992,0.789605475962162
16.0,-1.4709678888320923,0.0009992632258217782,6.759729504585266,0.956213653087616
17.0,-1.3390101194381714,0.0018083484610542655,11.664977312088013,0.790348693728447
18.0,-1.2335377931594849,-0.0034108737017959356,4.31678532063961,0.7067526057362556
19.0,-1.3819077014923096,0.001242242578882724,10.901759564876556,0.8217451460659504
20.0,-1.204011082649231,-0.001258418102224823,11.214821636676788,0.7025733627378941
21.0,-1.1353535652160645,-0.000537922402145341,2.9778867214918137,0.8040322251617908
22.0,-1.2981961965560913,0.0013428133097477257,10.982312262058258,0.7285745479166508
23.0,-1.4282524585723877,0.0019331946386955678,5.821204513311386,0.6961621530354023
24.0,-1.3123363256454468,-0.0019547238189261407,12.0689457654953,0.6928872838616371
25.0,-1.3142825365066528,-0.0009741395078890491,11.623562693595886,0.7140984460711479
26.0,-1.2219189405441284,0.00010095693869516253,3.241603285074234,0.7149255909025669
27.0,-1.1798230409622192,0.000919906422495842,13.097622871398926,0.7444335259497166
28.0,-1.2800745964050293,-0.0017079607641790062,4.465499892830849,0.7592474967241287
29.0,-1.2509084939956665,9.894720278680325e-06,10.71387654542923,0.7577939853072166
30.0,-1.1035047769546509,-0.00019017849990632385,10.80089670419693,0.6634222716093063
31.0,-1.0932937860488892,0.0005013251211494207,2.2018762305378914,0.7163747996091843
32.0,-1.1294091939926147,-0.0030617541051469743,10.160370469093323,0.5440593976527452
33.0,-1.1900123357772827,-0.0028549798007588834,3.835243195295334,0.5814228914678097
34.0,-0.9988919496536255,-0.001593201421201229,10.189666628837585,0.5184261836111546
35.0,-0.992312490940094,-0.0015004008673713543,9.222710818052292,0.3781236931681633
36.0,-0.8904445767402649,-0.003912983636837453,1.2402772828936577,0.42177663929760456
37.0,-0.807873547077179,0.002912210882641375,8.052217870950699,0.3917993064969778
38.0,-0.8552447557449341,-0.0020378626068122685,1.5475341528654099,0.34974040649831295
39.0,-0.8652114868164062,-0.0005586016923189163,6.4156471490859985,0.3456038348376751
40.0,-0.842872679233551,0.002886221744120121,4.592693522572517,0.32162279449403286
41.0,-0.8051183223724365,0.0007130758604034781,1.1832616552710533,0.3247951306402683
